secondary_name,objectid,address,feat_type,sub_type,vanity_name,name,bldg,parent_name,parent_type,acreage,parent_acreage
,3041,6075 RIDGE AVE,Cemetery,,,Leverington Cemetery,N,Leverington Cemetery,Cemetery,13.22868491,13.58515696
,3042,608-16 N 37TH ST,Playground,,,37th & Mt Vernon Playground,N,,,0.49138469,
,3043,609-39 SNYDER AVE,Playground,,,Ford Recreation Center,N,Ford Recreation Center,Playground,0.60308951,0.8085268
,3044,6100 BALTIMORE AVE,Playground,,,61st & Baltimore Ave Playground,N,Cobbs Creek Park,Park,1.07227241,852.9702327
,3045,6101 ARDLEIGH ST,Playground,,,Awbury Recreation Center,N,Awbury Recreation Center,Playground,28.2306712,28.44602061
,3255,6301-93 OXFORD AVE,Shopping Center Ground,Parking Lot,,Lawndale Plaza,N,Lawndale Plaza,Shopping Center Ground,4.85389228,7.10780554
,3046,611 S CHRIS COLUMBUS BLVD,Pier,,,Pier 28,N,Pier 28,Pier,1.41582193,1.70463413
,3047,613 WHARTON ST,Park,,,Gold Star Park,N,,,0.89252309,
,3048,6201-31 N FRONT ST,Shopping Center Ground,Parking Lot,,Adams Run Shopping Center,N,Adams Run Shopping Center,Shopping Center Ground,5.16816649,7.56708523
,3049,6201 TORRESDALE AVE,Playground,,,American Legion Playground,N,American Legion Playground,Playground,15.69436858,15.76464907
,3050,621 W ALLENS LA,School,,,Allens Lane Art Center,N,Allens Lane Art Center,School,5.66403444,5.76392196
,3051,308-32 S 6TH ST,School,Elementary School,,General George A. McCall Elementary School,Y,,,0.78749515,
,3475,6613 GERMANTOWN AVE,Cemetery,,,Germantown Church of Brethren Cemetery,N,,,0.83981079,
,3256,6301 MILNOR ST,Park,,,Lardner's Point Park,N,Lardner's Point Park,Park,4.76132254,4.76742155
,3257,6331 WISSAHICKON AVE,Park,,,Clifford Park,N,Wissahickon Valley Park,Park,45.67517685,2053.98128525
,3258,639 WALNUT LN,Golf Course,,,Walnut Lane Golf Course,N,Wissahickon Valley Park,Park,64.92380309,2053.98128525
,3259,640 W WALNUT LN,Playground,,,Wissahickon Valley Park Playground,N,Wissahickon Valley Park,Park,2.85051802,2053.98128525
,3260,8230-38 FRANKFORD AVE,Shopping Center Ground,Parking Lot,,Holmesburg Plaza,N,Holmesburg Plaza,Shopping Center Ground,0.37025318,0.65024261
,2885,6901 RISING SUN AVE,Youth Center,,,Gibbons PAL Center,N,Gibbons PAL Center,Youth Center,1.89153696,2.19879164
,3261,8295 BUSTLETON AVE,Cultural,,,Pegasus Riding Academy,N,Pegasus Riding Academy,Cultural,9.76890645,10.26076717
,3262,8318-60 BUSTLETON AVE,Shopping Center Ground,Parking Lot,,Bell's Corner,N,Bell's Corner,Shopping Center Ground,2.61830424,4.24090121
,3263,835 SOUTH ST,Garden,,,South Street Community Garden,N,,,0.17609036,
,3264,839 S 2ND ST,Park,,,Beck Park,N,,,0.07427552,
,3265,8400 SEMINOLE AVE,Transportation,,,Parking Lot - Highland Station,N,,,0.8239135,
,3472,6501-95 E ROOSEVELT BLVD,Shopping Center Ground,Parking Lot,,Roosevelt Plaza,N,Roosevelt Plaza,Shopping Center Ground,2.84323462,5.59331144
,3473,6501 HEGERMAN ST,Playground,,,Dorsey Playground,N,Dorsey Playground,Playground,2.38441243,2.43026814
,3474,6543-57 GREENE ST,Shopping Center Ground,Parking Lot,,Shopping Center,N,Shopping Center,Shopping Center Ground,0.52055148,235.41966052
,3476,900 WELTON ST,Park,,,Somerton Woods,N,,,7.59136922,
,3477,9001 LYKENS LN,Park,,,Andorra Natural Area,N,Wissahickon Valley Park,Park,154.04042956,2053.98128525
,3478,901-13 N ORIANNA ST,Park,,,Orianna Hill Park,N,,,0.46378529,
,3479,901-15 W GIRARD AVE,Shopping Center Ground,Parking Lot,,9th Street Marketplace,N,9th Street Marketplace,Shopping Center Ground,1.44166217,2.43199949
,2881,7800 CITY AVE,Golf Course,,,Cobbs Creek Golf Course & Driving Range,N,Cobbs Creek Park,Park,311.20183297,852.9702327
,2882,6801 GROVERS AVE,Playground,,,James Finnegan Playground,N,James Finnegan Playground,Playground,17.48811373,17.62121529
